userID,assignment,url,start_time,view_length
100001,a1,https://canvas.sfu.ca/courses/46101/assignments/455271,2026-05-20 16:19:42-07:00,22.0
100001,a1,https://canvas.sfu.ca/courses/46101/assignments/455271,2026-05-20 16:20:49-07:00,1524.0
100001,a1,https://canvas.sfu.ca/courses/46101/assignments/455271,2026-05-22 23:31:51-07:00,11.0
100001,a1,https://canvas.sfu.ca/courses/46101/pages/a1-overview,2026-05-22 23:32:02-07:00,18.0
100001,a1,https://canvas.sfu.ca/courses/46101/pages/a1-marking-scheme,2026-05-22 23:32:20-07:00,4.0
100001,a1,https://canvas.sfu.ca/courses/46101/assignments/455271,2026-05-22 23:32:24-07:00,1800.0
100001,a1,https://canvas.sfu.ca/courses/46101/assignments/455271,2026-05-23 15:02:53-07:00,10.0
100001,a1,https://canvas.sfu.ca/courses/46101/pages/a1-overview,2026-05-23 15:03:03-07:00,1800.0
100001,a1,https://canvas.sfu.ca/courses/46101/assignments/455271,2026-05-24 12:38:29-07:00,7.0
100001,a1,https://canvas.sfu.ca/courses/46101/pages/a1-overview,2026-05-24 12:38:36-07:00,263.0
100001,a1,https://canvas.sfu.ca/courses/46101/pages/a1-detail-specification,2026-05-24 12:42:59-07:00,20.0
100001,a1,https://canvas.sfu.ca/courses/46101/pages/a1-detail-specification,2026-05-24 12:43:19-07:00,9.0
100001,a1,https://canvas.sfu.ca/courses/46101/pages/a1-detail-specification,2026-05-24 12:43:28-07:00,1800.0
100001,a1,https://canvas.sfu.ca/courses/46101/pages/a1-general-guidelines,2026-05-24 19:38:46-07:00,17.0
100001,a1,https://canvas.sfu.ca/courses/46101/pages/a1-detail-specification,2026-05-24 19:39:03-07:00,14.0
100001,a1,https://canvas.sfu.ca/courses/46101/pages/a1-resources,2026-05-24 19:39:17-07:00,1800.0
100001,a1,https://canvas.sfu.ca/courses/46101/pages/a1-overview,2026-05-25 16:10:03-07:00,6.0
100001,a1,https://canvas.sfu.ca/courses/46101/assignments/455271,2026-05-25 16:10:09-07:00,5.0
100001,a1,https://canvas.sfu.ca/courses/46101/pages/a1-marking-scheme,2026-05-25 16:10:14-07:00,4.0
100001,a1,https://canvas.sfu.ca/courses/46101/assignments/455271,2026-05-25 16:10:18-07:00,79.0
100001,a1,https://canvas.sfu.ca/courses/46101/pages/a1-general-guidelines,2026-05-25 16:11:37-07:00,24.0
100001,a1,https://canvas.sfu.ca/courses/46101/pages/a1-general-guidelines,2026-05-25 16:12:01-07:00,3.0
100001,a1,https://canvas.sfu.ca/courses/46101/pages/a1-detail-specification,2026-05-25 16:12:04-07:00,101.0
100001,a1,https://canvas.sfu.ca/courses/46101/pages/a1-detail-specification,2026-05-25 16:13:45-07:00,890.0
100001,a1,https://canvas.sfu.ca/courses/46101/pages/a1-detail-specification,2026-05-25 16:28:35-07:00,510.0
100001,a1,https://canvas.sfu.ca/courses/46101/pages/a1-detail-specification,2026-05-25 16:37:05-07:00,1800.0
100001,a1,https://canvas.sfu.ca/courses/46101/assignments/455271,2026-05-26 16:31:21-07:00,3.0
100001,a1,https://canvas.sfu.ca/courses/46101/assignments/455271,2026-05-27 13:59:44-07:00,12.0
100001,a1,https://canvas.sfu.ca/courses/46101/pages/a1-how-to-submit,2026-05-27 13:59:56-07:00,991.0
100001,a1,https://canvas.sfu.ca/courses/46101/pages/a1-detail-specification,2026-05-27 14:16:27-07:00,1.0
100001,a1,https://canvas.sfu.ca/courses/46101/pages/a1-detail-specification,2026-05-27 14:16:28-07:00,1800.0
100001,a1,https://canvas.sfu.ca/courses/46101/assignments/455271,2026-05-27 18:18:55-07:00,957.0
100001,a1,https://canvas.sfu.ca/courses/46101/pages/a1-how-to-submit,2026-05-27 18:48:38-07:00,23.0
100001,a1,https://canvas.sfu.ca/courses/46101/assignments/455271,2026-05-27 23:38:55-07:00,4.0
100001,a1,https://canvas.sfu.ca/courses/46101/pages/a1-how-to-submit,2026-05-27 23:38:59-07:00,825.0
100001,a1,https://canvas.sfu.ca/courses/46101/assignments/455271,2026-05-27 23:52:49-07:00,39.0
100001,a1,https://canvas.sfu.ca/courses/46101/assignments/455271,2026-05-27 23:53:28-07:00,0.0
100001,a1,https://canvas.sfu.ca/courses/46101/pages/a1-detail-specification,2026-05-27 23:55:43-07:00,1800.0
100002,a1,https://canvas.sfu.ca/courses/46101/assignments/455271,2026-05-11 11:23:25-07:00,46.0
